English,Hindi
mat,चटाई
lengths,लंबाई
kindergarten,KINDERGARTEN
hostess,मालकिन
flaw,गलती
flavor,स्वाद
diving,गोताखोरी के
discharge,स्राव होना
Dewey,डेवी
consumed,ग्रहण किया हुआ
confidentiality,गोपनीयता
Claude,क्लाउड
cannon,तोप
bourbon,बर्बन
blizzard,बर्फानी तूफान
Bernie,बर्न
automatic,स्वचालित
amongst,बीच में
woody,वुडी
Viktor,विक्टर
victim's,पीड़ित
urban,शहरी
tactics,युक्ति
straightened,सीधा
spooky,डरावना
specials,स्पेशल
spaghetti,स्पघेटी
soil,मिट्टी
Sherman,शर्मन
prettier,खूबसूरत
powerless,शक्तिहीन
por,पोर
poems,कविता
playin,खेलना
playground,खेल का मैदान
pd,पी.डी.
Parker's,पार्कर
paranoia,पागलपन
Oscar,ऑस्कर
NSA,एनएसए
mutant,उत्परिवर्ती
Moore,मूर
mainly,में मुख्य
Mac's,मैक का
lions,लायंस
knox,नॉक्स
joe's,जोस
jacqueline,जैकलिन
instantly,हाथों हाथ
hopeful,आशावान
havoc,प्रलय
francis,फ्रांसिस
exaggerating,अतिशयोक्ति
evaluation,मूल्यांकन
engage,काम पर लगाना
eavesdropping,चोरी छुपे सुनना
doughnuts,क्या पागल
diversion,परिवर्तन
delight,आनंद
deepest,गहरी
dang,डांग
cutest,सबसे प्यारे
companion,साथी
comb,कंघा
bela,बेला
behaving,व्यवहार
avoided,बचना
aspen,एस्पेन
anyplace,कोई भी जगह
agh,आह
accessory,गौण
zap,गाली मार देना
workout,कसरत करना
whereas,जबकि
translate,अनुवाद
titanic,टाइटैनिक
stuffing,भराई
stoned,शराबी
speeding,तेज
slime,कीचड़
royalty,रॉयल्टी
polls,चुनाव
plaza,चौक
personalities,व्यक्तित्व
payments,भुगतान
musician,संगीतकार
maze,भूल भुलैया
marital,वैवाहिक
magician,जादूगर
lurking,गुप्त
lottery,लॉटरी
leonardo,लियोनार्डो
journalism,पत्रकारिता
interior,आंतरिक भाग
imaginary,काल्पनिक
hog,सूअर
hatch,अंडे से निकलना
guinea,गिनी
greetings,अभिवादन
game's,खेल
fairwinds,अच्छी हवा
ethical,नैतिक
equipped,लैस
environmental,पर्यावरण
elegant,सुरुचिपूर्ण
elbow,कोहनी
customs,प्रथाएँ
cuban,क्यूबा
credibility,साख
credentials,साख
consistent,एक जैसा
collapse,गिर जाना
cloth,कपड़ा
claws,पंजे
cinderella,सिंडरेला
